era_min_breadth,era_label,n_positions,periods,sharpe,ann,vol,kelly,median_fold,frac_pos,worst_fold,vnd_week
100,>= 100 cặp/kỳ (từ 2025-02),40,187,1.8152145389593999,0.5378035523453357,0.29627547642585544,6.126779579793089,0.6920795303310018,0.6666666666666666,-0.8352245467970327,23762.04679651144
100,>= 100 cặp/kỳ (từ 2025-02),50,187,1.8715976838020922,0.4957398662681961,0.264875229627938,7.065959646098531,0.7514022090620924,0.8333333333333334,-0.56870083508719,25261.13862990401
100,>= 100 cặp/kỳ (từ 2025-02),60,187,1.8757089802072435,0.45708882454003796,0.24368856222543386,7.697156415868397,0.8984084240950259,0.6666666666666666,-0.4272823381654643,25372.241671370895
100,>= 100 cặp/kỳ (từ 2025-02),70,187,1.7979750524290499,0.4104694349640355,0.22829540065614068,7.87565166561181,0.5837177122498793,0.6666666666666666,-0.48558882055439506,23312.84343142244
100,>= 100 cặp/kỳ (từ 2025-02),80,187,1.7438732852116015,0.38034932044628805,0.2181060537320729,7.995529034484392,0.5254494463149963,0.6666666666666666,-0.6739541865087667,21930.966597654122
100,>= 100 cặp/kỳ (từ 2025-02),90,187,1.718520831639288,0.3616199182121868,0.2104251002108828,8.166900383637833,0.38107607465658083,0.6666666666666666,-0.7178849565060145,21297.936409458103
100,>= 100 cặp/kỳ (từ 2025-02),100,187,1.7156435995297088,0.35359113977058154,0.2060982478339369,8.324396823169907,0.332707212895497,0.6666666666666666,-0.5665965267456643,21226.68000437925
120,>= 120 cặp/kỳ (từ 2025-08),40,127,2.122708439305091,0.7061774187495288,0.3326775385981456,6.380678564143144,1.7662984457321769,0.6666666666666666,-2.1029981020541735,32494.407103103757
120,>= 120 cặp/kỳ (từ 2025-08),50,127,2.188164184559149,0.6450726916670495,0.29480086376471465,7.422516191491074,1.808892876229835,0.6666666666666666,-1.1649876414736444,34529.29686481301
120,>= 120 cặp/kỳ (từ 2025-08),60,127,2.165449401211692,0.584674851808592,0.2700016225183711,8.020134771835872,1.8349006165166237,0.6666666666666666,-1.2651984501308993,33816.137806789
120,>= 120 cặp/kỳ (từ 2025-08),70,127,2.1546343414597326,0.5432489789524302,0.2521304745307211,8.54571168150163,1.6392962503385873,0.6666666666666666,-1.5122696197362242,33479.20056777125
120,>= 120 cặp/kỳ (từ 2025-08),80,127,2.103359264510204,0.5068115814154929,0.24095340723141315,8.729319450918265,1.552226264848262,0.6666666666666666,-1.690981310767831,31904.712949045
120,>= 120 cặp/kỳ (từ 2025-08),90,127,2.1165145478003544,0.4907166982430474,0.2318513230882529,9.1287576866435,1.5215153592046518,0.6666666666666666,-1.9102576878468847,32305.051666229836
120,>= 120 cặp/kỳ (từ 2025-08),100,127,2.122868382448831,0.4822106313093354,0.22715050791471217,9.345646646081464,1.5873191528202901,0.6666666666666666,-1.7636491876759577,32499.304104814288
