viable,n_fits,n_starved,n_raw_records,n_trades,dup_factor,mean_ret,win_rate,payoff,payoff_needed,sharpe,t_stat,trades_per_year,interval,direction,cost
True,15,0,1559,518,3.0096525096525095,-0.0012359216190626471,0.3223938223938224,1.6526204551699868,2.1017964071856285,-1.7674425960377225,-1.8502434731421904,472.675,1h,follow,taker
True,15,0,1594,526,3.03041825095057,-0.001343241130157097,0.31749049429657794,1.6469686768987257,2.1497005988023954,-1.985303721556635,-2.078310922940246,479.975,1h,follow,maker
True,15,0,1465,502,2.9183266932270917,-0.002435939417033595,0.36852589641434264,1.0429596747368175,1.7135135135135136,-3.841369604749248,-4.021329493273339,458.07500000000005,1h,mean-rev,taker
True,15,0,1493,501,2.9800399201596806,-0.002735248670176188,0.3592814371257485,1.0230316564634485,1.7833333333333334,-4.306097258759907,-4.507828636470154,457.1625,1h,mean-rev,maker
True,15,0,2981,811,3.6757090012330456,0.0012836450140715897,0.35141800246609123,2.0126527150045863,1.8456140350877195,0.32678623007151386,0.8022849703150102,134.55227272727274,4h,follow,taker
True,15,0,2907,817,3.558139534883721,0.0020486267564495697,0.3659730722154223,1.9904726298010995,1.732441471571906,0.5264963044479832,1.292588344045509,135.54772727272726,4h,follow,maker
True,15,0,1561,572,2.729020979020979,-0.0034018711117003242,0.4160839160839161,1.096306459148984,1.4033613445378152,-0.8310365720515845,-2.040257789911119,94.89999999999999,4h,mean-rev,taker
True,15,0,1664,592,2.810810810810811,-0.003304816974506497,0.4189189189189189,1.0908075204151655,1.3870967741935485,-0.8289734257899986,-2.035192609420283,98.21818181818182,4h,mean-rev,maker
True,15,0,578,168,3.4404761904761907,-0.0002594148437166027,0.44047619047619047,1.2560120539169874,1.2702702702702704,-0.021651820597803836,-0.05315686111306932,27.87272727272727,1d,follow,taker
True,15,0,577,169,3.4142011834319526,-0.001212468089546778,0.4378698224852071,1.216897708765769,1.2837837837837838,-0.10296784171215005,-0.25279385797055987,28.038636363636364,1d,follow,maker
True,15,0,530,184,2.880434782608696,-0.0007136069562598009,0.5217391304347826,0.890512950513123,0.9166666666666667,-0.057443794723280296,-0.14102887118059707,30.527272727272727,1d,mean-rev,taker
True,15,0,532,180,2.9555555555555557,-0.0009680690116573634,0.5277777777777778,0.8590334087828612,0.8947368421052632,-0.07848537832874115,-0.19268755421198933,29.863636363636363,1d,mean-rev,maker
