c_lookback,c_min_periods,c_t_threshold,c_max_abs_weight,c_max_step,p_mode,p_n_positions,p_max_weight,p_vol_window,p_z_clip,p_vol_floor_pct,sharpe_train,sharpe_holdout,n_train,n_holdout,status
250,180,2.0,0.2,0.05,rank_riskparity,8,0.15,90,2.5,0.1,1.5303207364005147,0.3337377446581034,580,219,ok
250,180,2.0,0.2,0.05,rank_binary,8,0.3,60,2.5,0.2,1.5379213043134232,0.3505193493921871,580,219,ok
250,180,2.0,0.2,0.05,zscore,20,0.15,40,2.5,0.1,1.647982332725136,0.043438369036002504,580,219,ok
250,180,2.0,0.2,0.05,zscore,8,0.2,60,2.0,0.2,1.5809645663239607,0.2884885731372169,580,219,ok
250,180,2.0,0.2,0.05,zscore,12,0.15,90,3.0,0.1,1.645073126479299,0.19097399409959345,580,219,ok
250,180,2.0,0.2,0.05,rank_binary,8,0.2,40,3.0,0.05,1.5216941679426474,0.3505193493921871,580,219,ok
250,180,2.0,0.2,0.05,zscore,16,0.3,90,3.0,0.2,1.659660340073292,0.2855501590393384,580,219,ok
250,180,2.0,0.2,0.05,rank_riskparity,8,0.3,40,3.0,0.05,1.303557925731648,0.5619025825240501,580,219,ok
250,180,2.0,0.2,0.05,zscore_riskparity,8,0.2,90,2.5,0.05,1.4447877175798622,0.3129290389939643,580,219,ok
250,180,2.0,0.2,0.05,zscore_riskparity,12,0.15,40,3.0,0.2,1.5792749268934263,0.3626627984644654,580,219,ok
375,120,2.5,0.2,0.1,rank_riskparity,8,0.2,60,2.0,0.05,1.7025235009058048,0.41399453920702023,580,219,ok
375,120,2.5,0.2,0.1,zscore,16,0.2,90,3.0,0.05,1.7744065679710461,0.4216804919250271,580,219,ok
375,120,2.5,0.2,0.1,rank_riskparity,20,0.15,60,2.0,0.05,1.594336553403686,0.18370239228727808,580,219,ok
375,120,2.5,0.2,0.1,rank_binary,16,0.3,90,2.0,0.1,1.7526621562660993,0.41808773671767785,580,219,ok
375,120,2.5,0.2,0.1,rank_binary,12,0.2,60,2.5,0.2,1.81156309654613,0.3854954633605339,580,219,ok
375,120,2.5,0.2,0.1,zscore,8,0.2,90,2.5,0.05,1.7888984697989523,0.47968057808217285,580,219,ok
375,120,2.5,0.2,0.1,zscore,16,0.15,40,3.0,0.05,1.7392191455262715,0.4343672250108619,580,219,ok
375,120,2.5,0.2,0.1,rank_riskparity,12,0.3,60,2.5,0.2,1.7894392449606449,0.1715465845435092,580,219,ok
375,120,2.5,0.2,0.1,zscore_riskparity,8,0.2,40,2.5,0.2,1.8108710472214475,0.6493328857712649,580,219,ok
375,120,2.5,0.2,0.1,zscore,16,0.2,90,2.0,0.05,1.7928916081200803,0.3534015015468714,580,219,ok
250,120,1.0,0.45,0.1,zscore,20,0.3,40,2.0,0.2,2.384337948236352,1.5874506669805517,580,219,ok
250,120,1.0,0.45,0.1,rank_binary,12,0.2,60,2.0,0.1,2.337860862526202,1.4424899994081195,580,219,ok
